CLUBE,POS,NOME,JOGOS,MÉDIA,M. BÁSICA,ESCANTEIOS/JOGO,XA/JOGO,XG/JOGO,ASSISTÊNCIAS,GOLS,G + A
Cruzeiro,ZAG,Jonathan Jesus,13,2.56,2.56,0.0,0.06,0.0,1,0,1
Santos,ATA,Tiquinho Soares,27,2.56,1.41,0.0,0.08,0.3,3,2,5
,ZAG,Lucas Gazal,5,2.56,2.56,0.0,0.06,0.08,1,0,1
Flamengo,MEI,De la Cruz,19,2.55,2.55,0.0,0.1,0.06,0,0,0
Internacional,ZAG,Juninho,20,2.54,2.54,0.0,0.0,0.06,0,0,0
,MEI,Lourenço,30,2.54,1.84,0.0,0.11,0.12,1,2,3
Santos,ATA,Caballero,12,2.54,1.46,0.0,0.18,0.26,1,1,2
,LAT,Aderlan,13,2.53,2.53,0.0,0.0,0.0,0,0,0
Bahia,MEI,Erick,15,2.52,1.99,0.0,0.01,0.21,0,1,1
,MEI,Lucas Crispim,7,2.51,1.37,0.0,0.11,0.16,1,1,2
,ATA,Lucero,24,2.5,1.29,0.0,,,0,0,0
Grêmio,MEI,Edenílson,28,2.48,1.27,0.0,0.09,0.22,1,3,4
Mirassol,MEI,Guilherme Marques,10,2.47,1.67,0.0,0.14,0.19,0,2,2
Fluminense,ZAG,Manoel,5,2.46,2.46,0.0,0.0,0.05,0,0,0
Santos,ZAG,Luisão,6,2.45,2.45,0.0,0.0,0.02,0,0,0
Vitória,ZAG,Neris,10,2.44,2.44,0.0,0.0,0.04,0,0,0
Internacional,MEI,Bruno Henrique,28,2.43,1.86,0.0,0.04,0.16,0,2,2
São Paulo,MEI,Matheus Alves,7,2.43,1.71,0.0,0.17,0.08,1,0,1
,ATA,Pablo,19,2.43,1.33,0.0,,,0,0,0
Corinthians,ATA,Gui Negão,22,2.42,1.1,0.0,0.05,0.22,1,3,4
São Paulo,LAT,Patryck,5,2.4,2.4,0.0,0.02,0.08,0,0,0
Atlético-MG,MEI,Alan Franco,26,2.39,2.08,0.0,0.02,0.04,0,0,0
Fluminense,ATA,Soteldo,21,2.36,1.12,0.0,0.13,0.04,0,0,0
,ATA,Allanzinho,8,2.35,1.1,0.0,0.45,0.12,2,0,2
,MEI,Caíque,26,2.33,2.13,0.0,0.11,0.0,1,0,1
Bragantino,LAT,Nathan Mendes,17,2.33,2.04,0.0,0.05,0.01,1,0,1
Bahia,ATA,Lucho Rodríguez,18,2.32,1.43,0.0,0.03,0.33,0,2,2
Corinthians,MEI,Carrillo,22,2.32,1.73,0.0,0.11,0.09,0,1,1
Internacional,MEI,Gustavo Prado,17,2.3,1.83,0.0,0.09,0.12,0,1,1
Flamengo,ATA,Everton,21,2.28,1.66,0.0,0.01,0.03,0,1,1
,MEI,Calebe,7,2.27,1.13,0.0,0.16,0.21,0,1,1
Vitória,ATA,Fabri,17,2.26,1.67,0.0,0.34,0.22,1,0,1
,ATA,Aylon,22,2.26,1.53,0.0,0.01,0.33,0,2,2
Grêmio,ATA,Aravena,22,2.25,1.16,0.0,0.15,0.59,0,3,3
Corinthians,MEI,Maycon,25,2.25,1.29,0.0,0.02,0.09,0,3,3
,ATA,Rafael Bilu,13,2.25,1.64,0.0,0.1,0.08,0,1,1
Vitória,MEI,Ronald Lopes,29,2.24,1.9,0.0,0.12,0.02,2,0,2
Bragantino,ATA,Davi Gomes,6,2.23,0.9,0.0,0.08,0.23,0,1,1
,ZAG,Rafael Thyere,21,2.22,2.22,0.0,0.0,0.06,0,1,1
,ZAG,Adriano Martins,5,2.22,2.22,0.0,0.0,0.05,0,0,0
Flamengo,MEI,Evertton Araújo,15,2.21,1.67,0.0,0.01,0.03,0,1,1
Vitória,MEI,Pepê,14,2.21,2.21,0.0,0.0,0.0,0,0,0
Atlético-MG,MEI,Fausto Vera,15,2.21,1.67,0.0,0.08,0.05,0,1,1
,LAT,Bruno Tubarão,7,2.2,2.2,0.0,0.02,0.05,0,0,0
Flamengo,ATA,Wallace Yan,14,2.19,0.91,0.0,0.55,0.31,2,1,3
Corinthians,ATA,Héctor Hernández,9,2.18,1.29,0.0,0.02,0.19,0,1,1
,ZAG,Abner,17,2.16,1.86,0.0,0.03,0.02,1,0,1
São Paulo,MEI,Rodriguinho,18,2.16,1.88,0.0,0.07,0.15,0,0,0
Bragantino,MEI,Matheus Fernandes,18,2.15,1.71,0.0,0.03,0.05,0,1,1
Vasco,ZAG,Lucas Freitas,18,2.15,1.71,0.0,0.0,0.02,0,1,1
Vitória,ATA,Lucas Braga,20,2.15,1.74,0.0,0.06,0.18,0,1,1
,MEI,Lucas Fernandes,6,2.15,2.15,0.0,0.09,0.09,0,0,0
,GOL,Jandrei,16,2.14,2.14,0.0,,,0,0,0
Botafogo,MEI,Newton,23,2.12,1.77,0.0,0.01,0.03,0,1,1
,ATA,Romarinho,24,2.12,1.25,0.0,0.08,0.18,0,0,0
,ZAG,João Silva,14,2.11,2.11,0.0,0.05,0.02,0,0,0
Mirassol,GOL,Alex Muralha,7,2.11,2.11,0.0,0.02,0.0,0,0,0
,MEI,Matheus Araújo,9,2.1,0.66,0.0,0.22,0.17,1,1,2
Vitória,LAT,Claudinho,15,2.07,2.07,0.0,0.12,0.05,0,0,0
Flamengo,MEI,Erick Pulgar,15,2.07,1.54,0.0,0.06,0.02,0,1,1
Vasco,MEI,Jair,10,2.07,2.07,0.0,0.05,0.01,0,0,0
,MEI,Emmanuel Martínez,12,2.06,0.97,0.0,0.07,0.05,1,1,2
Bahia,ZAG,Gabriel Xavier,11,2.06,2.06,0.0,0.01,0.01,0,0,0
São Paulo,ATA,Rigoni,10,2.06,0.76,0.0,0.07,0.15,0,0,0
,ATA,Gilberto,21,2.05,0.81,0.0,,,0,0,0
Mirassol,MEI,José Aldo,28,2.03,2.03,0.0,0.14,0.06,1,0,1
Bahia,ATA,Kayky,25,2.02,1.3,0.0,0.14,0.14,2,1,3
Cruzeiro,MEI,Matheus Henrique,17,2.01,2.01,0.0,0.06,0.02,0,0,0
Santos,MEI,Willian Arão,12,2.0,2.0,0.0,0.0,0.02,0,0,0
,MEI,Yago Pikachu,28,1.98,1.23,0.0,0.18,0.22,1,2,3
Fluminense,MEI,Lima,26,1.97,1.16,0.0,0.11,0.21,1,2,3
Bahia,MEI,Caio Alexandre,21,1.97,1.73,0.0,0.1,0.02,1,0,1
,LAT,Alan Ruschel,18,1.96,1.96,0.0,0.06,0.0,0,0,0
Internacional,LAT,Alan Benítez,10,1.96,1.96,0.0,0.08,0.12,0,0,0
Atlético-MG,ATA,Júnior Santos,16,1.96,0.96,0.0,0.01,0.53,0,2,2
Vasco,ATA,David,22,1.95,0.55,0.0,0.16,0.16,3,2,5
Cruzeiro,MEI,Lucas Silva,34,1.95,1.18,0.0,0.05,0.03,2,2,4
Grêmio,ZAG,Kannemann,18,1.95,1.95,0.0,0.01,0.02,0,0,0
São Paulo,MEI,Pablo Maia,25,1.94,1.62,0.0,0.01,0.02,0,1,1
Botafogo,MEI,Marlon Freitas,31,1.93,1.44,0.0,0.11,0.04,4,1,5
,ATA,Paulo Baya,18,1.91,1.18,0.0,0.03,0.12,1,1,2
São Paulo,MEI,Marcos Antônio,28,1.91,1.2,0.0,0.14,0.02,3,0,3
Cruzeiro,ATA,Wanderson,27,1.9,1.53,0.0,0.14,0.11,2,0,2
,MEI,José Welison,9,1.89,1.89,0.0,0.02,0.04,0,0,0
Corinthians,MEI,José Martínez,24,1.89,1.35,0.0,0.07,0.03,1,0,1
Bragantino,ZAG,Gustavo Marques,11,1.89,1.89,0.0,0.06,0.08,0,1,1
Bragantino,MEI,Fabinho,27,1.88,1.7,0.0,0.04,0.03,1,0,1
,MEI,Pedro Augusto,14,1.87,1.87,0.0,0.0,0.0,0,0,0
Grêmio,MEI,Riquelme,9,1.86,1.86,0.0,0.19,0.07,0,0,0
Corinthians,MEI,Dieguinho,13,1.85,1.46,0.0,0.03,0.2,0,0,0
,MEI,Pierre,10,1.84,1.84,0.0,0.11,0.01,0,0,0
Corinthians,ATA,Ángel Romero,27,1.82,1.64,0.0,0.1,0.23,1,0,1
,ATA,Giovanny,19,1.81,1.28,0.0,0.38,0.14,2,0,2
Mirassol,MEI,Yago Felipe,18,1.79,1.51,0.0,0.0,0.08,0,0,0
Grêmio,MEI,Dodi,29,1.78,1.61,0.0,0.01,0.02,1,0,1
Vasco,ATA,GB,11,1.78,0.33,0.0,0.0,0.0,0,0,0
Internacional,MEI,Ronaldo,15,1.77,1.77,0.0,0.01,0.06,0,0,0
Vasco,MEI,Hugo Moura,30,1.77,1.6,0.0,0.03,0.02,1,0,1
Corinthians,MEI,Charles,17,1.76,1.29,0.0,,,0,0,0
Palmeiras,ATA,Bruno Rodrigues,6,1.73,0.4,0.0,0.05,0.06,0,2,2
Mirassol,LAT,Felipe Jonatan,6,1.73,1.73,0.0,0.05,0.01,0,0,0
Internacional,MEI,Luis Otávio,19,1.73,1.73,0.0,0.0,0.04,0,0,0
Santos,ZAG,Gil,9,1.72,1.72,0.0,0.0,0.05,0,0,0
Vitória,ATA,Osvaldo,26,1.71,1.32,0.0,0.27,0.12,2,0,2
Bragantino,ZAG,Alix Vinicius,8,1.7,1.7,0.0,0.02,0.1,0,0,0
Internacional,GOL,Anthoni,18,1.7,1.7,0.0,0.0,0.0,0,0,0
Santos,ATA,Deivid Washington,17,1.7,1.23,0.0,0.03,0.2,0,1,1
,ATA,Moisés,10,1.68,1.18,0.0,0.1,0.18,1,0,1
Vitória,ATA,Renzo López,21,1.68,1.3,0.0,0.11,0.33,0,1,1
Corinthians,ATA,Kayke,8,1.68,1.05,0.0,0.01,0.01,0,0,0
,ATA,Matheus Babi,18,1.68,0.79,0.0,0.02,0.43,0,2,2
São Paulo,MEI,Oscar,6,1.67,1.67,0.0,0.15,0.15,0,0,0
Vasco,ZAG,Lucas Oliveira,7,1.66,1.66,0.0,0.0,0.0,0,0,0
Bahia,MEI,Cauly,29,1.66,0.87,0.0,0.0,0.0,0,0,0
Fluminense,MEI,Bernal,20,1.65,1.65,0.0,0.02,0.04,0,0,0
Bragantino,ATA,Henry Mosquera,17,1.65,1.65,0.0,0.1,0.15,0,0,0
,MEI,Hyoran,10,1.65,1.15,0.0,0.27,0.13,1,0,1
,MEI,Fernando Sobral,28,1.64,1.35,0.0,0.03,0.02,0,1,1
Botafogo,MEI,Patrick de Paula,6,1.63,1.63,0.0,0.02,0.04,0,0,0
Mirassol,MEI,Shaylon,11,1.62,1.62,0.0,0.22,0.25,0,0,0
Bragantino,MEI,Gustavinho,14,1.61,1.61,0.0,0.08,0.16,0,0,0
Bragantino,ATA,Thiago Borbas,17,1.61,0.84,0.0,0.13,0.3,1,1,2
São Paulo,MEI,Alisson,30,1.6,1.43,0.0,0.03,0.05,1,0,1
Bahia,ATA,Sanabria,8,1.6,1.6,0.0,0.01,0.11,0,1,1
Internacional,ATA,Enner Valencia,14,1.6,1.03,0.0,0.02,0.35,0,1,1
Santos,MEI,Victor Hugo,9,1.6,1.6,0.0,0.07,0.08,0,0,0
Fluminense,ATA,Everaldo,28,1.58,1.01,0.0,0.18,0.28,0,2,2
Vasco,MEI,Tchê Tchê,28,1.56,1.28,0.0,0.02,0.02,0,1,1
Vitória,ATA,Romarinho,5,1.56,1.56,0.0,0.08,0.18,0,0,0
Vasco,ZAG,Luiz Gustavo,5,1.56,1.56,0.0,,,0,0,0
São Paulo,ATA,Dinenno,8,1.56,0.56,0.0,,,0,0,0
Internacional,MEI,Óscar Romero,17,1.55,1.25,0.0,0.18,0.05,1,0,1
Internacional,MEI,Richard,7,1.54,1.54,0.0,0.0,0.01,0,0,0
Corinthians,MEI,Ryan,16,1.54,1.54,0.0,0.07,0.05,1,1,2
Santos,MEI,Diego Pituca,10,1.53,0.73,0.0,0.02,0.06,0,1,1
,ATA,Guilherme,6,1.53,1.53,0.0,,,0,0,0
Fluminense,MEI,Ganso,17,1.52,1.05,0.0,0.09,0.03,0,0,0
,ZAG,Wilker Ángel,17,1.51,1.04,0.0,0.0,0.03,0,1,1
Atlético-MG,ATA,João Marcelo,7,1.51,0.8,0.0,0.04,0.02,0,0,0
Grêmio,MEI,Noriega,13,1.51,1.51,0.0,0.01,0.03,0,0,0
,MEI,Du Queiroz,11,1.51,1.51,0.0,0.08,0.07,0,0,0
Grêmio,MEI,Camilo,15,1.5,1.5,0.0,0.01,0.02,0,0,0
,MEI,Vina,15,1.49,1.16,0.0,,,0,0,0
Flamengo,ATA,Juninho,14,1.48,1.48,0.0,0.05,0.59,0,1,1
Atlético-MG,MEI,Reinier,9,1.48,1.48,0.0,0.03,0.15,0,0,0
Vitória,MEI,Dudu,10,1.45,1.45,0.0,0.02,0.45,0,0,0
,LAT,Marcos Paulo,19,1.44,1.44,0.0,0.01,0.02,0,0,0
,ATA,Gonçalo Paciência,6,1.42,1.42,0.0,0.04,0.2,0,0,0
,ZAG,Lucas Cunha,6,1.42,1.42,0.0,0.0,0.0,0,0,0
,MEI,Kervin Andrade,8,1.41,0.79,0.0,0.23,0.19,1,0,1
Mirassol,MEI,Chico Kim,13,1.38,1.38,0.0,0.05,0.03,0,0,0
Santos,MEI,Rincón,17,1.36,1.36,0.0,0.0,0.03,0,0,0
Botafogo,ATA,Rwan Cruz,5,1.34,1.34,0.0,0.17,0.14,0,0,0
Palmeiras,ATA,Luighi,7,1.34,1.34,0.0,0.15,0.33,0,0,0
Bahia,MEI,Rezende,10,1.33,1.33,0.0,0.01,0.0,0,0,0
Mirassol,MEI,Matheus Bianqui,13,1.31,1.31,0.0,0.29,0.71,0,0,0
Fluminense,MEI,Otávio,6,1.3,1.3,0.0,0.01,0.02,0,0,0
Santos,ATA,Robinho Jr.,14,1.29,1.29,0.0,0.16,0.22,1,0,1
Grêmio,MEI,Ronald,6,1.28,1.28,0.0,0.0,0.0,0,0,0
Botafogo,MEI,Allan,20,1.28,1.28,0.0,0.03,0.01,0,0,0
Grêmio,MEI,Monsalve,9,1.26,0.7,0.0,0.22,0.05,1,0,1
São Paulo,ATA,Lucca,8,1.25,1.25,0.0,0.13,0.47,4,8,12
Cruzeiro,ATA,Marquinhos,17,1.24,1.24,0.0,0.13,0.11,0,0,0
,ATA,Lucca,5,1.22,1.22,0.0,0.0,0.0,0,0,0
Cruzeiro,MEI,Eduardo,29,1.22,0.94,0.0,0.06,0.09,0,1,1
,ATA,Gabriel Veron,18,1.2,1.2,0.0,0.14,0.15,0,0,0
Vitória,MEI,Ricardo Ryller,18,1.19,1.19,0.0,0.04,0.11,0,0,0
,ATA,Carlos Alberto,9,1.17,1.17,0.0,0.02,0.14,0,0,0
,MEI,Sforza,8,1.16,1.16,0.0,0.08,0.06,2,1,3
,MEI,Rodrigo Santos,8,1.16,1.16,0.0,0.03,0.03,0,0,0
Internacional,MEI,Diego Rosa,7,1.16,1.16,0.0,0.02,0.01,0,0,0
Bragantino,MEI,Praxedes,14,1.12,1.12,0.0,0.03,0.13,0,0,0
Vasco,ATA,Matheus França,14,1.12,1.12,0.0,0.03,0.13,0,0,0
Vasco,LAT,Victor Luis,6,1.1,1.1,0.0,0.01,0.03,0,0,0
Palmeiras,ATA,Paulinho,7,1.03,1.03,0.0,0.15,0.09,0,0,0
Mirassol,ATA,Fabrício Daniel,8,1.02,1.02,0.0,0.03,0.16,0,0,0
Atlético-MG,MEI,Bernard,23,1.01,1.01,0.0,0.17,0.18,1,1,2
Fluminense,ATA,Riquelme Felipe,5,1.0,1.0,0.0,0.1,0.08,0,0,0
,LAT,Kevyson,9,0.99,0.99,0.0,0.0,0.0,0,0,0
,MEI,Lucas Lima,10,0.95,0.95,0.0,0.05,0.09,0,0,0
,MEI,Atencio,18,0.94,0.94,0.0,0.1,0.22,0,3,3
,MEI,Richardson,15,0.86,0.86,0.0,0.02,0.01,0,0,0
Vasco,MEI,Adson,9,0.84,0.84,0.0,0.1,0.05,0,0,0
Vasco,ATA,Loide Augusto,10,0.83,0.83,0.0,0.08,0.19,0,0,0
Vasco,MEI,Mateus Carvalho,18,0.81,0.81,0.0,0.22,0.17,1,1,2
Vitória,ATA,Carlinhos,7,0.79,-0.36,0.0,0.0,0.84,0,1,1
São Paulo,MEI,Felipe Negrucci,5,0.78,0.78,0.0,0.0,0.02,0,0,0
Mirassol,ATA,Maceió,6,0.78,0.78,0.0,0.61,0.09,0,0,0
São Paulo,MEI,Luan Vinícius,6,0.78,0.78,0.0,0.15,0.35,0,0,0
Botafogo,ATA,Mastriani,10,0.76,0.76,0.0,0.23,0.52,0,1,1
Vasco,MEI,Paulinho,10,0.76,0.76,0.0,0.15,0.09,0,0,0
Bragantino,ATA,Fernando,12,0.76,0.76,0.0,0.05,0.38,0,0,0
Cruzeiro,MEI,Japa,5,0.72,0.72,0.0,0.0,0.0,0,0,0
,ATA,Ignacio Ramírez,8,0.68,0.68,0.0,0.01,0.24,0,0,0
Vasco,ATA,Alex Teixeira,8,0.66,0.66,0.0,0.0,0.26,0,0,0
Flamengo,MEI,Allan,13,0.56,0.56,0.0,0.02,0.02,0,0,0
,MEI,Rômulo,8,0.53,0.53,0.0,0.0,0.0,0,0,0
Cruzeiro,MEI,Walace,17,0.52,0.52,0.0,0.0,0.0,0,0,0
Cruzeiro,ATA,Bolasie,18,0.5,0.22,0.0,0.18,0.28,1,0,1
,MEI,Matheus Rossetto,17,0.49,0.49,0.0,0.01,0.0,0,0,0
Vasco,MEI,Thiago Mendes,7,0.46,0.46,0.0,0.02,0.0,0,0,0
Santos,ATA,Luca Meirelles,7,0.31,0.31,0.0,0.0,0.18,0,0,0
Mirassol,MEI,Roni,8,0.31,0.31,0.0,0.0,0.02,0,0,0
,MEI,Giraldo,14,0.28,0.28,0.0,0.04,0.01,2,0,2
Grêmio,MEI,Alex Santana,10,0.15,0.15,0.0,0.0,0.15,0,0,0
,MEI,Lucas Kal,11,0.13,0.13,0.0,0.02,0.0,0,0,0
Internacional,ATA,Raykkonen,6,0.13,0.13,0.0,0.01,0.09,0,0,0
Bahia,ATA,Ruan Pablo,5,0.08,0.08,0.0,0.0,1.13,0,0,0
Vasco,ATA,Garré,8,0.03,0.03,0.0,0.14,0.18,2,4,6
,MEI,Pablo Roberto,6,-0.17,-0.17,0.0,0.36,0.03,0,0,0
,MEI,Rodriguinho,5,-0.64,-0.64,0.0,0.0,0.0,0,0,0
