Clube,Jogador,Status,3 Jogos,5 Jogos,MAX 3,MAX 5,Últimos 3 Jogos (%),% D
BAH,Michel Araújo MEI,0,3.37,4.44,3,5,100.0,63.6
CRU,Fabrício Bruno ZAG,0,3.37,7.54,3,5,66.67,93.9
Clube 292,Daniel Paulista TEC,0,3.35,4.09,3,5,100.0,90.0
RBB,Andrés Hurtado LAT,0,3.33,3.84,3,5,33.33,73.1
SAN,Gil ZAG,0,3.33,3.5,3,5,33.33,55.6
GRE,Arthur Melo MEI,0,3.33,3.68,3,5,100.0,91.7
CRU,Leonardo Jardim TEC,0,3.32,5.07,3,5,100.0,100.0
GRE,Cuéllar MEI,0,3.3,3.28,3,5,100.0,87.5
VAS,João Victor ZAG,0,3.3,3.68,3,5,66.67,80.0
FLA,Everton ATA,0,3.3,2.8,3,5,100.0,81.0
COR,Memphis Depay ATA,0,3.3,5.4,3,5,100.0,87.0
COR,Cacá ZAG,0,3.27,2.3,3,5,100.0,78.9
Clube 286,Ruan Carneiro GOL,0,3.27,3.32,3,4,100.0,100.0
BAH,Marcos Felipe GOL,0,3.23,4.14,3,5,100.0,90.9
Clube 356,Tinga LAT,0,3.23,2.64,3,5,100.0,100.0
FLU,Ganso MEI,0,3.23,2.32,3,5,66.67,70.6
Clube 356,Mancuso LAT,0,3.2,2.58,3,5,66.67,92.0
VAS,Fábio Carille TEC,0,3.2,3.72,3,5,100.0,92.9
CRU,Kauã Prates LAT,0,3.17,3.5,3,5,100.0,100.0
RBB,Nathan Mendes LAT,0,3.17,2.44,3,5,66.67,88.2
SAO,Ryan Francisco ATA,0,3.17,3.76,3,5,100.0,71.4
CRU,Walace MEI,0,3.13,2.72,3,4,33.33,23.5
Clube 286,Batalla ATA,0,3.13,4.44,3,5,100.0,90.5
RBB,Gustavinho MEI,0,3.13,3.36,3,5,100.0,64.3
FLA,Allan MEI,0,3.13,2.75,3,4,66.67,30.8
Clube 354,Léo Condé TEC,0,3.13,2.84,3,5,100.0,92.1
CRU,Jonathan Jesus ZAG,0,3.1,3.06,3,5,100.0,76.9
SAO,Ferraresi ZAG,0,3.1,4.06,3,5,100.0,87.0
CRU,Cássio GOL,0,3.1,4.28,3,5,100.0,91.4
RBB,Guilherme Lopes LAT,0,3.1,2.14,3,5,66.67,90.0
SAO,André Silva ATA,0,3.07,3.1,3,5,100.0,89.5
FLU,Guga LAT,0,3.07,4.84,3,5,66.67,94.1
PAL,Benedetti ZAG,0,3.07,3.07,3,3,100.0,100.0
CAM,Reinier MEI,0,3.07,3.0,3,5,66.67,55.6
MIR,Gabriel MEI,0,3.03,4.82,3,5,100.0,83.3
VAS,Luiz Gustavo ZAG,0,3.03,3.03,3,3,66.67,60.0
PAL,Vanderlan LAT,0,3.03,3.12,3,5,100.0,94.1
VAS,Felipe Loureiro TEC,0,3.02,3.02,2,2,66.67,100.0
Clube 356,Kuscevic ZAG,0,3.0,5.3,3,5,66.67,88.9
BAH,Everton Ribeiro MEI,0,3.0,2.8,3,5,100.0,90.0
INT,Victor Gabriel ZAG,0,3.0,2.66,3,5,66.67,92.3
SAO,Marcos Antônio MEI,0,3.0,2.2,3,5,100.0,78.6
FLA,De la Cruz MEI,0,3.0,3.42,3,5,66.67,84.2
Clube 292,Carlos Alberto ATA,0,2.97,2.68,3,5,33.33,55.6
CAM,Vitor Hugo ZAG,0,2.97,3.5,3,5,100.0,93.8
FLA,João Victor ZAG,0,2.95,2.95,2,2,66.67,100.0
RBB,Laquintana ATA,0,2.93,2.16,3,5,33.33,86.4
Clube 356,Pierre MEI,0,2.93,2.36,3,5,66.67,90.0
Clube 292,Lucas Lima MEI,0,2.93,2.84,3,5,100.0,90.0
RBB,Guzmán Rodríguez ZAG,0,2.9,2.34,3,5,66.67,87.0
Clube 356,Magrão GOL,0,2.9,2.9,2,2,66.67,100.0
VAS,Léo Jardim GOL,0,2.9,4.22,3,5,100.0,84.8
COR,Kauê GOL,0,2.9,2.9,1,1,33.33,100.0
CAM,Gustavo Scarpa MEI,0,2.9,3.08,3,5,66.67,80.0
Clube 286,Jadson MEI,0,2.9,4.5,3,5,66.67,90.6
CRU,Ryan Guilherme MEI,0,2.9,2.9,3,3,100.0,100.0
RBB,Sant'Anna LAT,0,2.9,2.72,3,5,66.67,72.7
COR,Bahia MEI,0,2.9,2.9,2,2,66.67,100.0
VIT,Dudu MEI,0,2.9,4.24,3,5,100.0,50.0
BOT,Joaquín Correa ATA,0,2.87,6.64,3,5,100.0,88.9
RBB,Pedro Henrique ZAG,0,2.87,3.44,3,5,66.67,83.9
INT,Clayton Sampaio ZAG,0,2.87,2.42,3,5,100.0,80.0
PAL,Emiliano Martínez MEI,0,2.87,2.6,3,5,66.67,75.0
VAS,Jair MEI,0,2.87,2.56,3,5,66.67,70.0
COR,Talles Magno ATA,0,2.83,2.34,3,5,66.67,83.3
VAS,Carlos Cuesta ZAG,0,2.83,3.88,3,5,33.33,75.0
CAM,Igor Rabello ZAG,0,2.83,3.54,3,5,100.0,87.5
Clube 292,António Oliveira TEC,0,2.81,3.24,3,4,100.0,100.0
SAN,Willian Arão MEI,0,2.8,2.54,3,5,100.0,83.3
SAO,Pablo Maia MEI,0,2.8,2.42,3,5,33.33,68.0
Clube 292,Jefinho MEI,0,2.8,2.8,1,1,33.33,100.0
Clube 354,Diego LAT,0,2.8,2.42,3,5,100.0,100.0
INT,Bruno Tabata MEI,0,2.77,2.84,3,5,33.33,83.3
INT,Ivan GOL,0,2.77,4.8,3,5,66.67,83.3
SAN,Luisão ZAG,0,2.77,3.2,3,5,66.67,83.3
Clube 292,Matheusinho MEI,0,2.77,3.28,3,5,100.0,95.5
MIR,Yago Felipe MEI,0,2.77,3.06,3,5,66.67,77.8
INT,Vitinho ATA,0,2.73,5.1,3,5,100.0,92.3
FLU,Otávio MEI,0,2.73,2.73,3,3,33.33,50.0
GRE,Edenílson MEI,0,2.73,2.38,3,5,66.67,89.3
COR,Maycon MEI,0,2.73,5.62,3,5,66.67,72.0
GRE,Kannemann ZAG,0,2.73,1.9,3,5,66.67,72.2
SAO,Lucas Ferreira MEI,0,2.73,2.28,3,5,100.0,91.7
MIR,Alex Muralha GOL,0,2.7,3.04,3,5,100.0,85.7
SAN,Escobar LAT,0,2.7,2.18,3,5,66.67,75.9
Clube 286,Bernardo ZAG,0,2.7,2.7,1,1,33.33,100.0
PAL,Luighi ATA,0,2.67,2.0,3,5,66.67,71.4
Clube 292,Rafael Thyere ZAG,0,2.67,2.5,3,5,66.67,71.4
Clube 354,Bruno Ferreira GOL,0,2.67,4.38,3,5,100.0,86.2
Clube 354,Marcos Victor ZAG,0,2.67,4.06,3,5,66.67,93.3
INT,Vitão ZAG,0,2.67,3.56,3,5,33.33,63.3
COR,Félix Torres ZAG,0,2.63,4.36,3,5,66.67,80.0
BAH,David Duarte ZAG,0,2.63,5.02,3,5,100.0,84.6
Clube 292,Ramon Menezes ZAG,0,2.63,1.88,3,5,66.67,95.2
VAS,Lucas Piton LAT,0,2.63,3.3,3,5,100.0,85.7
Clube 356,Gastón Ávila ZAG,0,2.63,4.02,3,5,100.0,91.3
SAN,Deivid Washington ATA,0,2.63,2.62,3,5,66.67,76.5
GRE,Monsalve MEI,0,2.63,2.34,3,5,33.33,55.6
VAS,Lucas Oliveira ZAG,0,2.63,3.22,3,4,100.0,57.1
COR,Léo Maná LAT,0,2.6,2.6,1,1,33.33,25.0
Clube 356,Helton Leite GOL,0,2.6,2.6,3,3,100.0,75.0
Clube 354,Marllon ZAG,0,2.6,1.96,3,5,66.67,86.4
COR,Angileri LAT,0,2.6,3.56,3,5,0.0,71.4
Clube 354,Aylon ATA,0,2.6,3.52,3,5,66.67,59.1
BOT,Gabriel Bahia ZAG,0,2.6,2.6,2,2,33.33,50.0
PAL,Aníbal Moreno MEI,0,2.57,2.46,3,5,100.0,88.0
Clube 356,Kervin Andrade MEI,0,2.57,2.46,3,5,66.67,62.5
INT,Alan Benítez LAT,0,2.57,2.92,3,5,66.67,60.0
GRE,Ronald MEI,0,2.57,2.57,3,3,66.67,50.0
SAN,Zé Rafael MEI,0,2.57,3.9,3,5,66.67,84.6
CRU,Gabriel ATA,0,2.53,3.38,3,5,66.67,60.0
COR,Héctor Hernández ATA,0,2.53,3.98,3,5,100.0,55.6
BAH,Rezende MEI,0,2.53,2.84,3,5,66.67,50.0
VAS,Victor Luis LAT,0,2.53,2.53,3,3,66.67,50.0
GRE,Alysson ATA,0,2.5,2.44,3,5,100.0,96.4
MIR,Danielzinho MEI,0,2.5,2.38,3,5,100.0,97.1
Clube 286,Emerson Galego ATA,0,2.5,2.5,1,1,33.33,50.0
VIT,Wendell ATA,0,2.5,2.5,1,1,33.33,100.0
GRE,Arezo ATA,0,2.5,2.84,3,5,66.67,75.0
FLU,Santi Moreno ATA,0,2.5,2.5,3,3,66.67,75.0
FLA,Léo Ortiz ZAG,0,2.47,2.98,3,5,100.0,92.3
Clube 292,Luan Cândido LAT,0,2.47,1.8,3,5,66.67,76.9
GRE,Nathan MEI,0,2.45,2.45,2,2,66.67,100.0
Clube 356,Lucas Gazal ZAG,0,2.43,3.2,3,4,66.67,80.0
PAL,Felipe Anderson MEI,0,2.43,3.86,3,5,100.0,92.6
Clube 292,Chrystian Barletta ATA,0,2.43,1.9,3,5,66.67,87.9
Clube 286,Abner ZAG,0,2.43,3.04,3,5,100.0,58.8
Clube 356,Bruno Pacheco LAT,0,2.43,3.66,3,5,100.0,100.0
SAN,Alexis Duarte ZAG,0,2.4,2.96,3,5,100.0,100.0
GRE,Braithwaite ATA,0,2.4,2.44,3,5,66.67,94.1
FLA,Victor Hugo MEI,0,2.4,2.0,3,5,100.0,77.8
SAN,Aderlan LAT,0,2.4,2.54,3,5,33.33,76.9
Clube 292,Igor Cariús LAT,0,2.4,2.62,3,5,100.0,96.0
Clube 354,Fernando Sobral MEI,0,2.4,2.02,3,5,100.0,78.6
Clube 286,Cláudio Tencati TEC,0,2.37,3.96,3,5,100.0,80.0
RBB,Fernando ATA,0,2.37,1.82,3,5,33.33,50.0
Clube 292,Matheus Alexandre LAT,0,2.37,4.06,3,5,100.0,87.5
Clube 292,Zé Lucas MEI,0,2.37,1.6,3,5,100.0,87.0
Clube 286,Reginaldo LAT,0,2.37,4.06,3,5,100.0,81.2
RBB,Fernando Seabra TEC,0,2.36,3.93,3,5,100.0,100.0
VIT,Rúben Rodrigues MEI,0,2.35,2.35,2,2,66.67,50.0
CRU,Gamarra ZAG,0,2.35,2.35,2,2,66.67,100.0
MIR,Shaylon MEI,0,2.33,2.82,3,5,100.0,81.8
INT,Diego Rosa MEI,0,2.3,2.02,3,4,66.67,57.1
MIR,Cristian ATA,0,2.3,1.74,3,5,100.0,93.1
BAH,Santiago Mingo ZAG,0,2.3,2.3,3,5,100.0,83.9
SAN,Gabriel Veron ATA,0,2.3,2.06,3,5,66.67,72.2
BAH,Gabriel Xavier ZAG,0,2.27,2.86,3,5,66.67,63.6
PAL,Maurício MEI,0,2.27,2.74,3,5,100.0,96.0
Clube 354,Willian Machado ZAG,0,2.27,3.34,3,5,66.67,87.9
RBB,Eduardo Santos ZAG,0,2.23,3.94,3,5,100.0,100.0
Clube 354,Rafael Ramos LAT,0,2.23,3.12,3,5,100.0,95.0
VIT,Willian Oliveira MEI,0,2.23,3.7,3,5,66.67,77.8
FLA,Matheus Gonçalves MEI,0,2.23,2.23,3,3,66.67,75.0
Clube 292,Hyoran MEI,0,2.23,3.46,3,5,66.67,70.0
Clube 292,Gonçalo Paciência ATA,0,2.23,2.2,3,4,66.67,66.7
COR,Breno Bidon MEI,0,2.2,2.26,3,5,100.0,90.9
BOT,Kauan Toledo ATA,0,2.2,2.2,2,2,66.67,100.0
GRE,Riquelme MEI,0,2.17,2.58,3,5,66.67,88.9
Clube 286,Marcos Paulo LAT,0,2.17,2.84,3,5,33.33,57.9
SAN,Caballero ATA,0,2.17,2.62,3,5,0.0,66.7
BAH,Cauly MEI,0,2.17,1.74,3,5,33.33,72.4
CRU,Japa MEI,0,2.15,2.15,2,2,33.33,40.0
Clube 354,Fabiano Souza LAT,0,2.13,3.52,3,5,100.0,90.3
MIR,Matheus Bianqui MEI,0,2.13,2.6,3,5,100.0,61.5
VIT,Ricardo Ryller MEI,0,2.13,1.68,3,5,66.67,66.7
INT,Richard MEI,0,2.13,1.62,3,5,66.67,85.7
Clube 286,Rafael Bilu ATA,0,2.1,1.76,3,5,100.0,92.3
COR,Gui Negão ATA,0,2.1,1.66,3,5,66.67,77.3
Clube 292,Victor Hugo LAT,0,2.1,2.1,1,1,33.33,100.0
SAN,Rincón MEI,0,2.07,2.8,3,5,100.0,70.6
COR,Ángel Romero ATA,0,2.07,2.02,3,5,66.67,66.7
Clube 356,Gustavo Mancha ZAG,0,2.07,2.08,3,5,66.67,91.7
Clube 356,Brítez ZAG,0,2.07,3.16,3,5,66.67,75.0
VAS,Sforza MEI,0,2.07,1.92,3,5,66.67,62.5
Clube 356,Yeison Guzmán MEI,0,2.07,2.07,3,3,66.67,75.0
COR,Carrillo MEI,0,2.03,2.98,3,5,66.67,77.3
CAM,Mateus Iseppe MEI,0,2.0,2.0,1,1,33.33,100.0
VIT,Renzo López ATA,0,2.0,1.84,3,5,66.67,71.4
BAH,Kayky ATA,0,2.0,2.68,3,5,33.33,68.0
Clube 354,Guilherme ATA,0,2.0,2.7,3,4,33.33,66.7
BOT,Marlon Freitas MEI,0,1.97,2.8,3,5,66.67,71.0
SAN,Matheus Bachi TEC,0,1.94,1.94,1,1,33.33,100.0
Clube 356,Rodrigo Santos MEI,0,1.93,2.3,3,5,66.67,62.5
BAH,Sanabria ATA,0,1.93,3.02,3,5,66.67,62.5
RBB,Gabriel MEI,0,1.93,1.88,3,5,100.0,90.0
Clube 286,Giovanny ATA,0,1.93,2.24,3,5,66.67,78.9
CAM,Gabriel Delfim GOL,0,1.9,1.9,1,1,33.33,100.0
BOT,Mastriani ATA,0,1.9,1.6,3,5,66.67,60.0
SAN,Diego Pituca MEI,0,1.9,1.58,3,5,66.67,70.0
MIR,Guilherme Marques MEI,0,1.9,3.32,3,5,100.0,100.0
VAS,Adson MEI,0,1.9,1.48,3,5,66.67,66.7
COR,Matheuzinho LAT,0,1.87,2.74,3,5,100.0,93.5
Clube 292,Chico ZAG,0,1.87,2.58,3,5,66.67,84.6
CRU,Matheus Henrique MEI,0,1.87,1.64,3,5,66.67,64.7
FLU,Paulo Baya ATA,0,1.87,1.62,3,5,66.67,72.2
Clube 356,Lucas Crispim MEI,0,1.87,1.92,3,5,100.0,100.0
Clube 292,Ignacio Ramírez ATA,0,1.87,1.6,3,4,33.33,50.0
BOT,Matheus Martins ATA,0,1.83,1.78,3,5,66.67,84.6
Clube 286,Lucas Fernandes MEI,0,1.83,2.58,3,5,100.0,83.3
Clube 286,Nenê MEI,0,1.83,3.5,3,5,100.0,87.0
FLA,Erick Pulgar MEI,0,1.83,2.0,3,5,66.67,73.3
Clube 356,Lucas Sasha MEI,0,1.83,3.04,3,5,66.67,96.2
Clube 292,Atencio MEI,0,1.83,1.52,3,5,66.67,61.1
CRU,Lucas Silva MEI,0,1.83,1.38,3,5,0.0,67.6
PAL,Paulinho ATA,0,1.83,1.44,3,5,33.33,71.4
COR,Felipe Longo GOL,0,1.8,3.34,3,5,100.0,83.3
BAH,Caio Alexandre MEI,0,1.8,1.92,3,5,33.33,81.0
BOT,Rwan Cruz ATA,0,1.8,1.68,3,4,100.0,80.0
VAS,Tchê Tchê MEI,0,1.8,2.1,3,5,66.67,82.1
Clube 286,Jandrei GOL,0,1.8,2.16,3,5,100.0,81.2
COR,Ryan MEI,0,1.8,2.3,3,5,66.67,75.0
RBB,Henry Mosquera ATA,0,1.77,1.66,3,5,66.67,94.1
SAO,Young GOL,0,1.77,1.77,3,3,100.0,100.0
FLA,Saúl MEI,0,1.77,2.24,3,5,100.0,93.3
Clube 286,Luis Mandaca MEI,0,1.77,3.34,3,5,100.0,100.0
CAM,Júnior Santos ATA,0,1.77,3.16,3,5,33.33,62.5
Clube 356,Pablo Roberto MEI,0,1.75,1.75,2,2,33.33,33.3
Clube 356,Marinho ATA,0,1.73,1.7,3,5,100.0,87.5
Clube 354,Lucas Lima MEI,0,1.73,1.8,3,5,100.0,60.0
BAH,Fredi Lippert ZAG,0,1.7,1.7,1,1,33.33,100.0
INT,Gustavo Prado MEI,0,1.7,1.52,3,5,100.0,76.5
MIR,Maceió ATA,0,1.7,1.68,3,4,66.67,66.7
Clube 286,Gilberto ATA,0,1.7,2.06,3,5,100.0,61.9
VIT,Kike Saverio ATA,0,1.7,1.7,1,1,33.33,50.0
GRE,Jardiel ATA,0,1.7,1.7,2,2,33.33,50.0
INT,Luis Otávio MEI,0,1.67,2.88,3,5,33.33,73.7
Clube 286,Vitor Pernambuco ATA,0,1.67,1.67,3,3,100.0,100.0
BAH,Erick MEI,0,1.63,1.92,3,5,66.67,80.0
VAS,Puma Rodríguez LAT,0,1.63,2.56,3,5,33.33,78.3
CAM,Bernard MEI,0,1.63,2.6,3,5,66.67,56.5
VAS,Thiago Mendes MEI,0,1.63,1.63,3,3,66.67,42.9
VAS,Paulinho MEI,0,1.63,2.45,3,4,66.67,40.0
Clube 356,David Luiz ZAG,0,1.63,3.82,3,5,100.0,83.3
GRE,Noriega MEI,0,1.6,1.9,3,5,33.33,76.9
SAO,Luan Vinícius MEI,0,1.6,1.6,3,3,66.67,50.0
PAL,Larson MEI,0,1.6,1.6,1,1,33.33,100.0
CRU,Arroyo ATA,0,1.6,3.82,3,5,100.0,84.6
Clube 356,Kayke Queiroz ATA,0,1.6,1.6,1,1,33.33,50.0
INT,Enner Valencia ATA,0,1.57,1.3,3,5,66.67,64.3
FLA,Plata ATA,0,1.57,3.44,3,5,66.67,77.8
FLU,Lavega ATA,0,1.55,1.55,2,2,66.67,100.0
FLA,Luiz Araújo ATA,0,1.53,1.62,3,5,66.67,87.9
BOT,Kadir ATA,0,1.53,1.53,3,3,66.67,75.0
Clube 286,Peixoto MEI,0,1.53,2.0,3,5,100.0,90.9
INT,Rochet GOL,0,1.5,1.2,3,5,100.0,93.3
FLU,Riquelme Felipe ATA,0,1.5,1.25,3,4,100.0,80.0
INT,Yago Noal MEI,0,1.5,1.5,1,1,33.33,50.0
SAN,Mateus Xavier MEI,0,1.5,1.5,1,1,33.33,33.3
VAS,Lukas Zuccarello MEI,0,1.5,1.5,1,1,33.33,50.0
MIR,Zé Vitor MEI,0,1.5,1.5,1,1,33.33,50.0
Clube 286,Scatolin ATA,0,1.5,1.5,1,1,33.33,100.0
VAS,Hugo Moura MEI,0,1.5,1.68,3,5,33.33,66.7
SAO,Paulinho ATA,0,1.5,1.5,1,1,33.33,33.3
Clube 356,Emmanuel Martínez MEI,0,1.5,2.14,3,5,66.67,66.7
Clube 292,Romarinho ATA,0,1.5,1.32,3,5,100.0,79.2
GRE,Camilo MEI,0,1.47,2.2,3,5,33.33,80.0
Clube 354,Richardson MEI,0,1.47,1.0,3,5,33.33,60.0
Clube 354,Matheus Bahia LAT,0,1.47,2.64,3,5,100.0,92.3
VIT,Felipe Cardoso MEI,0,1.45,1.45,2,2,66.67,66.7
CRU,João Marcelo ZAG,0,1.45,1.45,2,2,66.67,50.0
SAO,Cédric Soares LAT,0,1.43,2.92,3,5,100.0,72.0
CAM,Fausto Vera MEI,0,1.43,2.52,3,5,33.33,80.0
GRE,Cristian Olivera ATA,0,1.43,1.46,3,5,100.0,100.0
VAS,Matheus França ATA,0,1.43,1.46,3,5,33.33,71.4
Clube 292,Adriel MEI,0,1.43,1.43,3,3,66.67,75.0
BOT,Gregore MEI,0,1.43,2.48,3,5,100.0,100.0
FLU,Lima MEI,0,1.4,0.98,3,5,33.33,76.9
INT,Pablo LAT,0,1.4,1.4,1,1,33.33,100.0
SAN,Tiquinho Soares ATA,0,1.4,2.44,3,5,66.67,81.5
VAS,Loide Augusto ATA,0,1.4,2.22,3,5,33.33,50.0
VAS,Léo Jacó ATA,0,1.4,1.4,1,1,33.33,100.0
SAO,Oscar MEI,0,1.4,2.0,3,5,66.67,83.3
Clube 286,Giraldo MEI,0,1.37,1.22,3,5,0.0,57.1
COR,João Pedro ZAG,0,1.37,3.22,3,5,100.0,87.5
FLU,Cano ATA,0,1.37,3.18,3,5,100.0,95.0
VAS,Alex Teixeira ATA,0,1.37,1.32,3,4,33.33,50.0
Clube 286,Natã ZAG,0,1.35,1.35,2,2,66.67,100.0
GRE,Villasanti MEI,0,1.33,1.88,3,5,100.0,86.7
SAO,Alisson MEI,0,1.33,1.14,3,5,66.67,80.0
Clube 354,Fernandinho ATA,0,1.33,1.9,3,5,100.0,95.0
VIT,Lucas Braga ATA,0,1.33,2.0,3,5,100.0,85.0
Clube 356,Diogo Barbosa LAT,0,1.33,3.6,3,5,33.33,81.2
RBB,Juninho Capixaba LAT,0,1.3,2.88,3,5,100.0,100.0
FLU,Everaldo ATA,0,1.3,1.7,3,5,100.0,78.6
BOT,John GOL,0,1.27,4.42,3,5,100.0,100.0
PAL,Andreas Pereira MEI,0,1.27,2.92,3,5,100.0,72.7
SAN,Luca Meirelles ATA,0,1.25,1.25,2,2,33.33,28.6
Clube 356,Moisés ATA,0,1.23,1.24,3,5,66.67,80.0
INT,Ronaldo MEI,0,1.23,2.04,3,5,100.0,73.3
SAO,Patryck LAT,0,1.23,2.4,3,5,100.0,100.0
GRE,Rodrigo Ely ZAG,0,1.2,1.2,1,1,33.33,50.0
Clube 292,Lucas Cunha ZAG,0,1.2,2.15,3,4,66.67,66.7
BOT,Elias Manoel ATA,0,1.2,1.2,1,1,33.33,50.0
Clube 356,Lucero ATA,0,1.2,2.44,3,5,33.33,58.3
SAN,Brahimi ATA,0,1.2,1.2,1,1,33.33,100.0
FLU,Lezcano MEI,0,1.17,1.17,3,3,66.67,75.0
FLA,Juninho ATA,0,1.17,1.08,3,5,100.0,78.6
Clube 292,Fabricio Domínguez MEI,0,1.17,1.18,3,4,100.0,100.0
Clube 354,Matheus Araújo MEI,0,1.17,1.94,3,5,66.67,66.7
VAS,Lucas Freitas ZAG,0,1.17,2.94,3,5,66.67,72.2
CRU,Wanderson ATA,0,1.13,1.58,3,5,66.67,81.5
MIR,Chico da Costa ATA,0,1.1,0.86,3,5,100.0,84.2
Clube 354,Lourenço MEI,0,1.1,2.24,3,5,33.33,73.3
VAS,Robert Renan ZAG,0,1.07,3.16,3,5,33.33,66.7
VIT,Carlinhos ATA,0,1.07,2.38,3,4,33.33,57.1
BOT,Allan MEI,0,1.07,1.24,3,5,66.67,50.0
BOT,Chris Ramos ATA,0,1.03,2.94,3,5,100.0,90.9
Clube 286,Matheus Babi ATA,0,1.03,1.32,3,5,100.0,72.2
INT,Óscar Romero MEI,0,1.03,1.36,3,5,66.67,82.4
SAN,Rollheiser MEI,0,1.03,1.9,3,5,66.67,82.9
GRE,Alex Santana MEI,0,1.03,1.08,3,4,0.0,40.0
VAS,Leandrinho LAT,0,1.0,1.0,1,1,33.33,50.0
VAS,Garré ATA,0,1.0,1.0,3,3,33.33,37.5
MIR,Chico Kim MEI,0,0.97,1.58,3,5,33.33,53.8
INT,Bruno Henrique MEI,0,0.97,2.78,3,5,66.67,78.6
VAS,Mateus Carvalho MEI,0,0.97,1.04,3,5,33.33,55.6
SAO,Lucca ATA,0,0.97,1.9,3,5,100.0,87.5
INT,Lucca ATA,0,0.97,1.22,3,5,100.0,100.0
BOT,Newton MEI,0,0.93,2.78,3,5,33.33,56.5
BOT,Patrick de Paula MEI,0,0.93,1.32,3,5,100.0,100.0
Clube 354,Éder ZAG,0,0.93,0.93,3,3,100.0,100.0
RBB,Praxedes MEI,0,0.9,1.54,3,5,33.33,57.1
RBB,Eric Ramires MEI,0,0.87,3.66,3,5,33.33,83.3
Clube 354,Rômulo MEI,0,0.87,0.96,3,5,100.0,62.5
SAN,Kevyson LAT,0,0.87,1.7,3,5,33.33,66.7
CRU,Kaique Kenji ATA,0,0.87,0.87,3,3,100.0,100.0
SAN,Robinho Jr. ATA,0,0.87,1.9,3,5,100.0,78.6
INT,Raykkonen ATA,0,0.85,0.85,2,2,66.67,33.3
BAH,Ruan Pablo ATA,0,0.85,0.85,2,2,0.0,40.0
Clube 292,Lucas Kal MEI,0,0.83,1.02,3,5,66.67,45.5
MIR,Roni MEI,0,0.83,0.83,3,3,66.67,37.5
GRE,Aravena ATA,0,0.83,1.72,3,5,100.0,90.9
CRU,Eduardo MEI,0,0.83,1.38,3,5,66.67,51.7
VIT,Osvaldo ATA,0,0.83,0.78,3,5,66.67,65.4
CRU,Rodriguinho MEI,0,0.8,0.8,1,1,33.33,20.0
SAO,Felipe Negrucci MEI,0,0.73,0.98,3,4,66.67,80.0
Clube 356,Matheus Rossetto MEI,0,0.7,0.9,3,5,33.33,41.2
BAH,Kauê Furquim ATA,0,0.7,0.7,1,1,33.33,100.0
Clube 286,Hudson MEI,0,0.7,0.7,2,2,33.33,50.0
SAN,Hyan MEI,0,0.7,0.7,2,2,66.67,100.0
CRU,Marquinhos ATA,0,0.7,1.38,3,5,100.0,70.6
FLU,Davi Schuindt ZAG,0,0.7,0.7,2,2,66.67,100.0
BOT,Kauan Lindes MEI,0,0.7,0.7,1,1,33.33,100.0
MIR,Fabrício Daniel ATA,0,0.67,1.24,3,5,100.0,87.5
FLA,Wallace Yan ATA,0,0.63,0.54,3,5,66.67,85.7
BOT,Raul GOL,0,0.6,0.6,2,2,66.67,100.0
Clube 356,Weverson LAT,0,0.6,0.6,3,3,100.0,75.0
CRU,Rayan Lelis ATA,0,0.6,0.6,1,1,33.33,100.0
CRU,Bolasie ATA,0,0.5,1.34,3,5,33.33,50.0
FLA,Ayrton Lucas LAT,0,0.5,2.72,3,5,100.0,87.5
BOT,Huguinho MEI,0,0.5,0.5,1,1,33.33,100.0
Clube 286,Marlon ATA,0,0.5,0.5,1,1,33.33,100.0
VAS,Guilherme Estrella MEI,0,0.5,0.5,1,1,33.33,100.0
CAM,Isaac ATA,0,0.5,0.5,1,1,33.33,100.0
PAL,Thalys ATA,0,0.5,0.5,1,1,33.33,50.0
VAS,Vegetti ATA,0,0.47,0.72,3,5,66.67,87.5
FLU,Bernal MEI,0,0.4,1.84,3,5,33.33,65.0
Clube 354,Pedro Henrique ATA,0,0.4,1.38,3,5,100.0,92.3
VAS,Daniel Fuzato GOL,0,0.3,0.3,1,1,33.33,33.3
