ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2021,28,284,265,2,1
2021,28,292,356,1,0
2021,28,262,266,1,2
2021,28,354,285,0,2
2021,29,292,275,0,1
2021,29,356,284,0,0
2021,29,276,277,0,1
2021,29,262,354,0,2
2021,29,267,263,3,0
2021,29,280,282,2,2
2021,29,264,266,5,0
2021,30,275,284,1,1
2021,30,267,264,0,1
2021,30,277,263,2,1
2021,30,354,280,1,2
2021,30,285,356,4,2
2021,28,275,264,4,0
2021,31,284,282,1,1
2021,31,264,266,3,3
2021,31,280,267,4,1
2021,31,276,285,1,5
2021,31,262,275,2,0
2021,31,356,277,2,0
2021,31,264,292,3,0
2021,32,276,264,1,1
2021,32,267,282,3,2
2021,32,285,284,2,1
2021,32,354,275,2,1
2021,32,292,265,2,0
2021,32,266,263,2,0
2021,32,264,280,0,2
2021,1,275,267,1,1
2021,28,282,277,2,0
2021,23,284,262,2,4
2021,30,265,264,2,1
2021,33,267,265,0,0
2021,33,264,284,1,1
2021,33,282,356,2,0
2021,33,285,280,2,1
2021,33,292,262,0,3
2021,33,275,263,1,1
2021,34,284,277,3,3
2021,34,264,354,2,1
2021,34,265,266,0,1
2021,34,356,264,3,1
2021,34,262,267,2,0
2021,34,263,292,0,1
2021,35,280,262,1,1
2021,35,263,284,2,5
2021,35,285,292,1,2
2021,35,356,267,3,0
2021,35,276,354,1,1
2021,35,266,282,0,0
2021,36,282,265,1,1
2021,36,277,264,2,0
2021,36,262,264,2,1
2021,36,267,285,0,2
2021,36,275,356,3,0
2021,36,284,276,1,2
2021,36,354,266,1,3
2021,36,292,280,0,0
2021,33,277,264,1,0
2021,35,264,275,1,0
2021,34,276,275,1,1
2021,37,264,354,0,2
2021,37,356,265,0,4
2021,37,264,267,0,0
2021,37,292,282,2,3
2021,37,262,285,2,1
2021,37,277,266,1,1
2021,37,263,276,1,0
2021,38,280,284,1,0
2021,38,265,277,2,0
2021,38,354,263,2,1
2021,38,282,275,2,0
2021,38,266,356,2,0
2021,38,285,264,0,0
2021,38,276,262,2,1
2021,1,265,277,3,0
2021,1,276,266,0,0
2021,1,282,356,1,2
2021,1,354,284,3,2
2021,1,262,275,1,0
2021,1,285,292,2,2
2021,2,277,354,3,1
2021,2,280,265,3,3
2021,2,356,285,5,1
2021,2,292,282,0,1
2021,3,277,286,0,0
2021,3,275,264,1,1
2021,3,282,276,1,0
2021,3,356,292,1,0
2021,3,265,285,0,1
2021,3,280,266,2,2
2021,4,285,282,0,1
2021,4,264,280,1,2
2021,4,286,275,0,3
2021,4,354,265,1,2
2021,4,266,277,1,0
2021,4,292,284,1,0
2021,5,262,280,2,3
2021,5,265,264,0,0
2021,5,285,354,1,1
2021,5,356,266,1,1
2021,5,277,276,2,0
2021,5,286,292,1,0
2021,6,262,356,2,1
2021,6,280,275,3,1
2021,6,264,292,2,1
2021,6,354,282,2,1
2021,6,284,277,2,2
2021,7,286,262,1,0
2021,7,266,264,1,1
2021,7,284,356,0,0
2021,7,275,265,3,2
2021,7,277,282,2,0
2021,7,354,276,1,1
2021,8,285,275,1,2
2021,8,277,292,0,0
2021,8,264,276,0,0
2021,8,286,284,2,0
2021,8,280,354,0,0
2021,9,264,285,1,1
2021,9,262,266,0,1
2021,9,292,275,0,1
2021,9,276,280,1,2
2021,9,354,286,2,0
2021,10,265,286,1,0
2021,10,275,284,2,0
2021,10,282,262,2,1
2021,10,285,276,0,2
2021,10,266,354,0,0
2021,11,275,277,3,2
2021,11,284,285,0,0
2021,11,276,265,1,0
2021,11,292,266,1,2
2021,11,356,264,1,0
2021,12,276,356,0,1
2021,12,264,282,1,2
2021,12,266,284,0,1
2021,12,265,262,0,5
2021,12,280,277,2,2
2021,12,285,286,1,0
2021,13,275,266,1,0
2021,13,282,265,3,0
2021,13,262,276,5,1
2021,13,356,280,1,0
2021,13,292,354,0,0
2021,14,276,275,0,0
2021,14,280,284,1,0
2021,14,264,262,1,3
2021,14,265,292,0,1
2021,14,354,356,3,1
2021,15,292,280,0,0
2021,15,275,356,2,3
2021,15,277,264,0,0
2021,15,286,282,1,2
2021,15,262,285,0,4
2021,16,280,286,1,2
2021,16,282,275,2,0
2021,16,276,284,2,1
2021,16,262,292,2,0
2021,16,264,354,3,1
2021,16,356,277,1,1
2021,16,285,266,4,2
2021,17,284,265,2,0
2021,17,286,356,1,1
2021,17,354,262,1,1
2021,17,277,285,2,2
2021,17,292,276,0,1
2021,17,266,282,1,1
2021,18,277,262,0,4
2021,18,284,264,0,1
2021,18,286,276,1,1
2021,18,280,282,1,1
2021,18,266,265,2,0
2021,14,266,286,1,1
2021,19,265,356,4,2
2021,19,264,286,1,1
2021,20,277,265,0,0
2021,20,284,354,2,0
2021,20,275,262,1,3
2021,20,356,282,0,2
2021,20,266,276,2,1
2021,20,292,285,0,1
2021,21,282,292,3,0
2021,21,354,277,0,0
2021,21,265,280,1,1
2021,21,285,356,1,0
2021,21,262,284,0,1
2021,22,264,275,2,1
2021,22,276,282,0,0
2021,22,285,265,2,0
2021,22,266,280,2,1
2021,22,286,277,3,0
2021,22,292,356,0,1
2021,23,280,264,2,2
2021,23,282,285,1,0
2021,23,275,286,1,1
2021,23,284,292,1,2
2021,24,264,265,3,1
2021,24,292,286,3,1
2021,24,354,285,0,0
2021,24,280,262,1,1
2021,24,266,356,0,2
2021,24,276,277,1,1
2021,25,282,354,3,1
2021,25,292,264,1,0
2021,25,356,262,0,3
2021,25,275,280,2,4
2021,25,277,284,1,0
2021,26,265,275,0,0
2021,26,282,277,3,1
2021,26,262,286,3,1
2021,26,356,284,1,0
2021,26,264,266,1,0
2021,26,276,354,1,1
2021,27,275,285,1,0
2021,27,354,280,2,2
2021,27,284,286,3,2
2021,27,292,277,0,0
2021,27,276,264,1,0
2021,19,354,275,1,2
2021,19,285,280,1,1
2021,28,286,354,0,0
2021,28,266,262,3,1
2021,28,285,264,2,2
2021,28,280,276,1,0
2021,28,275,292,2,1
2021,23,277,266,2,0
2021,23,265,354,1,1
2021,34,280,292,3,0
2021,29,262,282,1,0
2021,29,286,265,0,0
2021,29,284,275,1,3
2021,29,354,266,1,0
2021,29,276,285,1,0
2021,19,282,284,2,1
2021,30,264,356,1,0
2021,30,285,284,1,0
2021,30,266,292,1,0
2021,30,277,275,0,2
2021,30,265,276,1,0
2021,31,284,266,1,0
2021,31,277,280,2,0
2021,31,282,264,3,0
2021,31,286,285,2,1
2021,31,356,276,1,1
2021,31,262,265,3,0
2021,32,280,356,3,0
2021,32,276,262,0,4
2021,32,266,275,2,1
2021,32,354,292,2,1
2021,33,284,280,3,0
2021,33,356,354,0,4
2021,33,275,276,0,2
2021,33,286,266,1,0
2021,33,262,264,1,0
2021,33,292,265,1,0
2021,34,282,286,2,0
2021,34,356,275,1,0
2021,34,285,262,1,2
2021,34,264,277,2,0
2021,2,284,262,2,2
2021,35,275,282,2,2
2021,35,266,285,1,0
2021,35,277,356,2,0
2021,35,354,264,2,1
2021,36,265,284,3,1
2021,36,276,292,2,0
2021,36,282,266,2,1
2021,36,285,277,1,1
2021,35,286,280,1,0
2021,36,262,354,2,1
2021,32,265,282,2,3
2021,35,284,276,3,0
2021,35,292,262,1,1
2021,36,356,286,1,0
2021,37,265,266,2,0
2021,37,282,280,4,3
2021,37,264,284,1,1
2021,37,276,286,3,1
2021,37,262,277,0,1
2021,38,356,265,2,1
2021,38,275,354,1,0
2021,38,280,285,1,0
2021,38,286,264,1,0
2021,38,284,282,4,3
2022,1,266,277,0,0
2022,1,275,354,2,3
2022,1,263,264,1,3
2022,1,282,285,2,0
2022,1,286,280,2,2
2022,2,277,264,2,1
2022,2,262,276,3,1
2022,2,285,356,2,1
2022,2,354,263,1,3
2022,4,262,275,0,0
2022,3,280,276,1,1
2022,3,275,264,3,0
2022,3,266,285,0,1
2022,3,282,264,2,2
2022,4,354,280,0,1
2022,4,263,286,1,1
2022,4,264,356,1,0
2022,4,264,266,3,2
2022,4,276,277,2,1
2022,5,262,263,0,1
2022,5,275,266,1,1
2022,5,280,264,0,1
2022,5,356,276,1,1
2022,5,286,285,1,1
2022,7,280,282,1,1
2022,6,275,280,2,0
2022,6,354,262,2,2
2022,6,285,264,2,2
2022,6,263,356,3,1
2022,7,277,354,0,0
2022,7,286,275,0,3
2022,7,356,266,0,1
2022,7,264,276,1,1
2022,8,276,354,2,2
2022,8,356,286,1,1
2022,8,277,275,0,1
2022,8,264,263,1,0
2022,8,266,262,1,2
2022,3,356,354,0,1
2022,9,354,264,1,1
2022,9,286,266,1,0
2022,9,262,356,1,2
2022,9,275,282,0,0
2022,9,280,285,0,2
2022,10,280,262,1,0
2022,10,266,282,5,3
2022,10,277,285,1,1
2022,10,275,263,4,0
2022,10,264,276,1,1
2022,11,264,286,2,0
2022,11,282,277,1,1
2022,11,285,262,3,1
2022,11,264,275,0,2
2022,12,286,277,1,2
2022,12,354,282,0,0
2022,12,280,264,4,2
2022,12,263,276,1,0
2022,13,277,280,2,2
2022,13,282,262,2,0
2022,13,285,263,2,3
2022,13,276,275,1,2
2022,14,285,264,3,0
2022,14,264,277,0,0
2022,14,282,356,3,2
2022,14,263,266,0,1
2022,14,276,286,0,0
2022,15,286,282,1,2
2022,15,266,264,4,0
2022,15,277,262,1,2
2022,15,354,285,1,1
2022,15,264,356,2,1
2022,15,280,263,0,1
2022,16,266,354,2,1
2022,16,264,286,2,2
2022,16,264,262,1,0
2022,16,356,275,0,0
2022,16,282,276,0,0
2022,17,262,264,2,0
2022,17,354,264,3,1
2022,17,276,266,2,2
2022,17,263,282,0,1
2022,18,280,356,2,1
2022,18,262,286,4,0
2022,18,285,276,3,3
2022,18,277,263,2,0
2022,18,264,264,3,1
2022,19,275,285,2,1
2022,19,286,354,1,0
2022,19,266,280,2,1
2022,19,282,264,1,2
2022,19,356,277,0,0
2022,20,354,275,1,2
2022,20,264,263,1,0
2022,20,285,282,3,0
2022,20,280,286,1,0
2022,20,277,266,2,2
2022,21,263,354,1,1
2022,21,276,262,0,2
2022,21,356,285,3,0
2022,21,264,277,1,2
2022,22,264,275,0,1
2022,22,264,282,0,1
2022,22,354,356,0,1
2022,22,276,280,3,0
2022,22,285,266,3,0
2022,23,266,264,5,2
2022,23,286,263,2,2
2022,23,275,262,1,1
2022,23,356,264,1,0
2022,23,280,354,1,1
2022,23,277,276,1,0
2022,24,266,275,1,1
2022,24,276,356,0,1
2022,24,263,262,0,1
2022,24,285,286,4,0
2022,24,264,280,1,0
2022,25,280,275,2,2
2022,25,262,354,1,1
2022,25,264,285,2,2
2022,25,356,263,1,3
2022,26,282,280,1,1
2022,26,354,277,2,1
2022,26,266,356,2,1
2022,26,275,286,2,1
2022,26,276,264,1,1
2022,27,263,264,2,0
2022,27,354,276,0,2
2022,27,262,266,1,2
2022,27,286,356,1,1
2022,27,275,277,1,0
2022,28,356,262,3,2
2022,28,266,286,4,0
2022,28,264,354,1,0
2022,28,285,280,0,0
2022,28,282,275,0,1
2022,29,282,266,2,0
2022,29,285,277,1,0
2022,29,262,280,4,1
2022,29,263,275,1,3
2022,30,286,264,2,2
2022,30,262,285,0,0
2022,30,277,282,1,2
2022,30,275,264,4,0
2022,31,276,263,0,1
2022,31,264,280,2,1
2022,31,282,354,0,0
2022,31,277,286,4,1
2022,32,262,282,1,0
2022,32,275,276,0,0
2022,32,263,285,0,1
2022,32,280,277,0,2
2022,29,276,264,3,1
2022,33,277,264,0,1
2022,33,286,276,1,2
2022,33,266,263,2,2
2022,33,264,285,1,1
2022,33,356,282,0,0
2022,34,262,277,3,2
2022,34,263,280,2,1
2022,34,285,354,2,1
2022,34,264,266,0,2
2022,34,356,264,3,1
2022,34,282,286,1,0
2022,35,354,266,0,1
2022,35,276,282,2,2
2022,35,286,264,0,1
2022,35,262,264,1,2
2022,35,275,356,4,0
2022,36,266,276,3,1
2022,36,264,354,1,0
2022,36,264,262,1,0
2022,36,282,263,0,2
2022,37,276,285,0,1
2022,37,264,264,2,2
2022,37,356,280,6,0
2022,37,286,262,2,2
2022,37,263,277,3,0
2022,38,354,286,4,1
2022,38,277,356,0,2
2022,38,280,266,0,1
2022,38,264,282,0,1
2022,38,285,275,3,0
2023,1,280,265,2,1
2023,1,356,285,1,1
2023,1,263,276,2,1
2023,1,282,267,1,2
2023,1,262,264,3,0
2023,1,264,283,2,1
2023,1,284,277,1,0
2023,2,283,284,1,0
2023,2,285,262,2,1
2023,2,277,282,0,0
2023,2,267,275,2,2
2023,2,264,356,0,3
2023,2,265,263,1,2
2023,3,264,276,1,1
2023,3,356,266,4,2
2023,3,275,264,2,1
2023,3,280,283,0,3
2023,3,262,263,2,3
2023,3,267,265,0,1
2023,4,283,277,2,1
2023,4,266,267,1,1
2023,4,265,264,3,1
2023,4,276,285,2,0
2023,4,284,280,3,3
2023,4,263,282,2,0
2023,4,264,356,1,1
2023,5,277,265,3,0
2023,5,283,266,0,2
2023,5,275,284,4,1
2023,5,264,267,1,1
2023,5,263,264,3,0
2023,5,356,276,0,0
2023,6,265,262,2,3
2023,6,275,280,1,1
2023,6,282,285,2,0
2023,6,284,356,0,0
2023,6,267,277,0,1
2023,6,264,276,1,1
2023,7,276,267,4,2
2023,7,263,266,1,0
2023,7,264,282,1,2
2023,7,277,275,0,0
2023,7,262,264,1,0
2023,7,284,285,3,1
2023,8,356,267,2,0
2023,8,262,283,1,1
2023,8,285,265,2,0
2023,8,264,266,2,0
2023,8,280,277,2,0
2023,8,282,275,1,1
2023,9,356,265,0,0
2023,9,283,282,0,1
2023,9,277,285,1,1
2023,9,266,280,2,1
2023,9,284,276,2,1
2023,9,275,264,3,1
2023,9,267,262,1,4
2023,10,264,277,0,0
2023,10,282,280,1,1
2023,10,265,283,2,2
2023,10,263,356,2,0
2023,10,276,275,0,2
2023,10,285,267,2,1
2023,10,262,284,3,0
2023,11,283,356,0,1
2023,11,277,264,0,2
2023,11,266,282,1,1
2023,11,265,275,1,0
2023,11,264,285,0,1
2023,11,280,262,4,0
2023,12,266,265,2,1
2023,12,356,282,2,1
2023,12,283,276,1,0
2023,12,275,263,0,1
2023,12,284,264,5,1
2023,12,277,262,2,3
2023,13,276,266,1,0
2023,13,262,356,2,0
2023,13,265,284,1,2
2023,13,285,283,0,0
2023,13,264,280,0,1
2023,13,263,267,2,0
2023,14,267,283,0,1
2023,14,282,264,0,1
2023,14,275,262,1,1
2023,14,280,276,0,0
2023,14,266,285,2,0
2023,14,284,263,0,2
2023,15,263,280,2,0
2023,15,283,264,0,0
2023,15,266,262,0,0
2023,15,276,277,4,1
2023,15,285,275,0,0
2023,16,275,356,3,1
2023,16,265,264,0,0
2023,16,284,282,1,0
2023,16,280,285,0,0
2023,16,277,263,2,2
2023,16,264,266,2,0
2023,17,266,277,1,0
2023,17,356,280,0,3
2023,17,264,267,3,1
2023,17,282,262,1,2
2023,17,276,265,0,0
2023,17,263,264,4,1
2023,18,285,264,2,2
2023,18,266,275,2,1
2023,18,267,284,1,0
2023,18,276,282,0,2
2023,18,264,280,0,1
2023,18,283,263,0,0
2023,19,263,285,3,1
2023,19,282,265,1,0
2023,19,284,266,2,1
2023,19,264,264,3,1
2023,19,356,277,4,0
2023,19,262,276,1,1
2023,19,275,283,1,0
2023,19,280,267,1,1
2023,20,285,356,0,1
2023,20,276,263,0,0
2023,20,283,264,1,1
2023,20,267,282,1,0
2023,20,265,280,4,0
2023,20,277,284,2,1
2023,20,264,262,2,3
2023,21,262,285,0,0
2023,21,263,265,3,0
2023,21,282,277,2,0
2023,21,275,267,1,0
2023,21,356,264,3,1
2023,21,284,283,3,0
2023,22,263,262,1,2
2023,22,266,356,1,0
2023,22,264,275,0,0
2023,22,265,267,1,1
2023,22,283,280,0,0
2023,23,285,276,2,1
2023,23,277,283,0,3
2023,23,356,264,2,1
2023,23,264,265,2,4
2023,23,280,284,2,0
2023,23,267,266,4,2
2023,23,282,263,1,0
2023,15,264,284,4,4
2023,24,265,277,1,2
2023,24,266,283,1,0
2023,24,276,356,1,2
2023,24,267,264,5,1
2023,24,284,275,1,0
2023,24,264,263,1,0
2023,22,276,264,2,1
2023,25,262,265,1,0
2023,25,356,284,1,1
2023,25,276,264,2,1
2023,25,285,282,0,2
2023,25,277,267,4,1
2023,25,280,275,2,1
2023,26,267,276,0,0
2023,26,264,262,1,1
2023,26,285,284,3,2
2023,26,266,263,0,2
2023,26,275,277,1,2
2023,26,282,264,1,2
2023,27,267,356,1,0
2023,27,265,285,1,0
2023,27,283,262,0,2
2023,27,275,282,0,2
2023,27,277,280,1,3
2023,27,266,264,3,3
2023,28,276,284,3,0
2023,28,265,356,2,0
2023,28,282,283,0,1
2023,28,262,267,1,0
2023,28,285,277,7,1
2023,28,280,266,1,0
2023,28,264,275,0,2
2023,29,280,282,1,2
2023,29,275,276,5,0
2023,29,283,265,3,0
2023,29,284,262,3,2
2023,29,267,285,1,2
2023,29,277,264,2,1
2023,30,275,265,1,0
2023,30,282,266,2,0
2023,30,285,264,3,4
2023,30,264,277,1,1
2023,31,265,266,1,0
2023,31,262,277,1,2
2023,31,264,284,1,2
2023,31,282,356,3,1
2023,31,263,275,3,4
2023,31,276,283,1,0
2023,32,284,265,1,0
